location,mylocation,geo_location
"Архангай, Архангай",Архангай аймаг,Архангай аймаг
"Дархан-Уул, Дархан-Уул",Дархан-Уул аймаг,Дархан-Уул аймаг
"Дорноговь, Дорноговь",Дорноговь аймаг,Дорноговь аймаг
"Дорнод, Дорнод",Дорнод аймаг,Дорнод аймаг
"Дорнод, Дорнод",Дорнод аймаг,Дорнод аймаг
Орхон,Орхон аймаг,Орхон аймаг
"Орхон, Орхон",Орхон аймаг,Орхон аймаг
"Өвөрхангай, Өвөрхангай",Өвөрхангай аймаг,Өвөрхангай аймаг
"Өмнөговь, Өмнөговь",Өмнөговь аймаг,Өмнөговь аймаг
Сүхбаатар,Сүхбаатар аймаг,Сүхбаатар аймаг
Сүхбаатар,Сүхбаатар аймаг,Сүхбаатар аймаг
"Сүхбаатар, Сүхбаатар",Сүхбаатар аймаг,Сүхбаатар аймаг
"Сэлэнгэ, Сэлэнгэ",Сэлэнгэ аймаг,Сэлэнгэ аймаг
Төв,Төв аймаг,Төв аймаг
Төв,Төв аймаг,Төв аймаг
"Төв, Төв",Төв аймаг,Төв аймаг
"УБ — Багануур, Багануур, Хороо 1",Багануур,Багануур
УБ — Баянгол,Баянгол,Баянгол
"УБ — Баянгол, 10-р хороолол",10-р хороолол,10-р хороолол
"УБ — Баянгол, 25-р эмийн сан",25-р эмийн сан,10-р хороолол
"УБ — Баянгол, 3, 4 хороолол","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, 3-р хороолол","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, 40-р сургууль","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, 4-р хороолол","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, 6-р бичил",6-р бичил,"3, 4 хороолол"
"УБ — Баянгол, Алтай хотхон",Алтай хотхон,Алтай хотхон
"УБ — Баянгол, Баруун 4 зам",Баруун 4 зам,Төмөр зам
"УБ — Баянгол, Баянгол, Хороо 1",Модны 2,Модны 2
"УБ — Баянгол, Баянгол, Хороо 10",Модны 2,Модны 2
"УБ — Баянгол, Баянгол, Хороо 11",Модны 2,Модны 2
"УБ — Баянгол, Баянгол, Хороо 12","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 13","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 14",Модны 2,Модны 2
"УБ — Баянгол, Баянгол, Хороо 15",Эх нялхас,Зурагт
"УБ — Баянгол, Баянгол, Хороо 16",Эх нялхас,Зурагт
"УБ — Баянгол, Баянгол, Хороо 17",Модны 2,Модны 2
"УБ — Баянгол, Баянгол, Хороо 18",Модны 2,Модны 2
"УБ — Баянгол, Баянгол, Хороо 19",Модны 2,Модны 2
"УБ — Баянгол, Баянгол, Хороо 2",Модны 2,Модны 2
"УБ — Баянгол, Баянгол, Хороо 20",Хархорин,1-р хороолол
"УБ — Баянгол, Баянгол, Хороо 21","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 22","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 23",Модны 2,Модны 2
"УБ — Баянгол, Баянгол, Хороо 3",Нарны хороолол,Нарны хороолол
"УБ — Баянгол, Баянгол, Хороо 4","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 5","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 6","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 7","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 8","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 9",Хорооллын эцэс,"3, 4 хороолол"
"УБ — Баянгол, Бичил",Бичил,"3, 4 хороолол"
"УБ — Баянгол, Богд-Ар",Төмөр зам,Төмөр зам
"УБ — Баянгол, Гандан",Гандан,Модны 2
"УБ — Баянгол, Гэмтэл согог судлалын үндэсний төв",Гэмтэл,"3, 4 хороолол"
"УБ — Баянгол, Модны 2",Модны 2,Модны 2
"УБ — Баянгол, Монгени цогцолбор",Модны 2,Модны 2
"УБ — Баянгол, Нарны хороолол",Нарны хороолол,Нарны хороолол
"УБ — Баянгол, Оюуны Ундраа цогцолбор сургууль",Модны 2,Модны 2
"УБ — Баянгол, Өргөө - 1 кино театр","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, Төмөр зам",Төмөр зам,Төмөр зам
"УБ — Баянгол, Тээврийн товчоо",Тээврийн товчоо,Төмөр зам
"УБ — Баянгол, УБ палас",25-р эмийн сан,10-р хороолол
"УБ — Баянгол, Ханбүргэдэй",Төмөр зам,Төмөр зам
"УБ — Баянгол, Хорооллын Имарт","3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, Хос-Өргөө",Алтай хотхон,Алтай хотхон
"УБ — Баянгол, Эх нялхас эмнэлэг",Эх нялхас,Зурагт
УБ — Баянзүрх,Баянзүрх,Баянзүрх
"УБ — Баянзүрх, 13-р хороолол",13-р хороолол,13-р хороолол
"УБ — Баянзүрх, 14-р хороолол",Халдварт,Халдварт
"УБ — Баянзүрх, 14-р хороолол",Халдварт,Халдварт
"УБ — Баянзүрх, 15-р хороолол",Жуков,Жуков
"УБ — Баянзүрх, 16-р хороолол",Цайз,Цайз
"УБ — Баянзүрх, 1-р төрөх",Цайз,Цайз
"УБ — Баянзүрх, 2-р эмнэлэг",13-р хороолол,13-р хороолол
"УБ — Баянзүрх, 33-р сургуулийн ойролцоо",13-р хороолол,13-р хороолол
"УБ — Баянзүрх, 84-р сургуулийн ойролцоо",13-р хороолол,13-р хороолол
"УБ — Баянзүрх, Edu apart campus",Цэцэрлэгт хүрээлэн,Цэцэрлэгт хүрээлэн
"УБ — Баянзүрх, Olympic village",Олимп хотхон,Цэцэрлэгт хүрээлэн
"УБ — Баянзүрх, Sunrise",Цэцэрлэгт хүрээлэн,Цэцэрлэгт хүрээлэн
"УБ — Баянзүрх, Алдар Спорт хороо",Офицер,Офицер
"УБ — Баянзүрх, Амгалан",Амгалан,Амгалан
"УБ — Баянзүрх, Амгалан амаржих газар",Амгалан,Амгалан
"УБ — Баянзүрх, Арцат",Цайз,Цайз
"УБ — Баянзүрх, Баатархайрхан",Баянзүрх,Баянзүрх
"УБ — Баянзүрх, Бага дарь-Эх",Дарь эх,КТМС
"УБ — Баянзүрх, Баялаг-Ундраа",Нарантуул,Халдварт
"УБ — Баянзүрх, Баянзүрх дүүрэг",Баянзүрх,Баянзүрх
"УБ — Баянзүрх, Баянзүрх, Хороо 1",СЭЗИС,Сансарын имарт
"УБ — Баянзүрх, Баянзүрх, Хороо 10",Амгалан,Амгалан
"УБ — Баянзүрх, Баянзүрх, Хороо 11",Бага тэнгэр,Бага тэнгэр
"УБ — Баянзүрх, Баянзүрх, Хороо 12",Ботаник,Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 13",Баянзүрх,Баянзүрх
"УБ — Баянзүрх, Баянзүрх, Хороо 14",Өгөөмөр,Халдварт
"УБ — Баянзүрх, Баянзүрх, Хороо 15",Кино үйлдвэр,Жуков
"УБ — Баянзүрх, Баянзүрх, Хороо 16",Цайз,Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 17",Цайз,Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 18",Цайз,Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 19",Цайз,Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 2",КТМС,КТМС
"УБ — Баянзүрх, Баянзүрх, Хороо 20",Кино үйлдвэр,Жуков
"УБ — Баянзүрх, Баянзүрх, Хороо 21",Цайз,Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 22",Кино үйлдвэр,Жуков
"УБ — Баянзүрх, Баянзүрх, Хороо 23",Офицер,Офицер
"УБ — Баянзүрх, Баянзүрх, Хороо 24",Шар хад,Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 25",Натур,Натур
"УБ — Баянзүрх, Баянзүрх, Хороо 26",Цэцэрлэгт хүрээлэн,Цэцэрлэгт хүрээлэн
"УБ — Баянзүрх, Баянзүрх, Хороо 27",Цэцэрлэгт хүрээлэн,Цэцэрлэгт хүрээлэн
"УБ — Баянзүрх, Баянзүрх, Хороо 28",Улаанхуаран,Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 29",Улаанхуаран,Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 3",Сансар,Сансар
"УБ — Баянзүрх, Баянзүрх, Хороо 30",КТМС,КТМС
"УБ — Баянзүрх, Баянзүрх, Хороо 31",Цайз,Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 32",Цайз,Цайз
"УБ — Баянзүрх, Баянзүрх, Хороо 34",Шархад,Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 36",Баянмонгол,Баянмонгол хороолол
"УБ — Баянзүрх, Баянзүрх, Хороо 37",Чулуун овоо,Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 38",Улаанхуаран,Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 39",Улаанхуаран,Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 4",Жуков,Жуков
"УБ — Баянзүрх, Баянзүрх, Хороо 40",Улаанхуаран,Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 41",Улаанхуаран,Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 42",Улаанхуаран,Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 43",Улаанхуаран,Улаанхуаран
"УБ — Баянзүрх, Баянзүрх, Хороо 5",Жуков,Жуков
"УБ — Баянзүрх, Баянзүрх, Хороо 6",Бөхийн өргөө,13-р хороолол
"УБ — Баянзүрх, Баянзүрх, Хороо 7",КТМС,КТМС
"УБ — Баянзүрх, Баянзүрх, Хороо 8",Амгалан,Амгалан
"УБ — Баянзүрх, Баянзүрх, Хороо 8",Амгалан,Амгалан
"УБ — Баянзүрх, Баянзүрх, Хороо 9",Улаанхуаран,Улаанхуаран
"УБ — Баянзүрх, Баянмонгол хороолол",Баянмонгол,Баянмонгол хороолол
"УБ — Баянзүрх, Ботаник",Ботаник,Улаанхуаран
"УБ — Баянзүрх, Бөхийн Өргөө",Бөхийн өргөө,13-р хороолол
"УБ — Баянзүрх, Гачуурт",Гачуурт,Гачуурт
"УБ — Баянзүрх, Зүүн 4 зам",Зүүн 4 зам,13-р хороолол
"УБ — Баянзүрх, Их Засаг Их сургууль",Цайз,Цайз
"УБ — Баянзүрх, Их Монгол хороолол",Их монгол,Их монгол хороолол
"УБ — Баянзүрх, КТМС",КТМС,КТМС
"УБ — Баянзүрх, Монгол Япон эмнэлэг",Амгалан,Амгалан
"УБ — Баянзүрх, Нарантуул зах",Нарантуул,Халдварт
"УБ — Баянзүрх, Натур худалдааны төв",13-р хороолол,13-р хороолол
"УБ — Баянзүрх, Нохойтой хөшөө",Чулуун овоо,Улаанхуаран
"УБ — Баянзүрх, Олимп хотхон",Олимп хотхон,Цэцэрлэгт хүрээлэн
"УБ — Баянзүрх, Офицер",Офицер,Офицер
"УБ — Баянзүрх, Өгөөмөр захын зүүн",Өгөөмөр,Халдварт
"УБ — Баянзүрх, РЦНК",Сансар,Сансар
"УБ — Баянзүрх, Сандэй плаза",Нарантуул,Халдварт
"УБ — Баянзүрх, Сансар",Сансар,Сансар
"УБ — Баянзүрх, Туул-БЗД",Туул зөрлөг,Туул зөрлөг
"УБ — Баянзүрх, Улаанбаатар их сургууль",Нарантуул,Халдварт
"УБ — Баянзүрх, Улаанхуаран",Офицер,Офицер
"УБ — Баянзүрх, Улиастай",Улиастай,Амгалан
"УБ — Баянзүрх, Ургах наран",Ургахнаран,Ургахнаран
"УБ — Баянзүрх, Үндэсний цэцэрлэгт хүрээлэн",Цэцэрлэгт хүрээлэн,Цэцэрлэгт хүрээлэн
"УБ — Баянзүрх, Хавдар судлалын үндэсний төв",Нарантуул,Нарантуул
"УБ — Баянзүрх, Халдвартын эмнэлэг",Нарантуул,Нарантуул
"УБ — Баянзүрх, Хонхор",Хонхор зөрлөг,Хонхор зөрлөг
"УБ — Баянзүрх, Цайз",Цайз,Цайз
"УБ — Баянзүрх, Цэргийн хотхон",Сансар,Сансар
"УБ — Баянзүрх, Чингис зочид буудал",Сансар,Сансар
"УБ — Баянзүрх, Чулуун овоо",Чулуун овоо,Улаанхуаран
"УБ — Баянзүрх, Чухаг хороолол",Дүнжингарав,Цэцэрлэгт хүрээлэн
"УБ — Баянзүрх, Шар хад",Шар хад,Улаанхуаран
"УБ — Баянзүрх, Шинэ Монгол сургуулийн ойролцоо",13-р хороолол,13-р хороолол
"УБ — Баянзүрх, Элчин сайдын гудамж",Сансар,Сансар
