date,time,price,area,price_m2,price_total,location
2024-09-18,10:43,3500.0,366.7,9.544586855740388,"3.5 Тэрбум ₮
4.3 Тэрбум ₮ үнэ тохирно","УБ — Хан-Уул, River Garden"
2024-09-19,14:47,390.0,120.0,3.25,"390 сая ₮
үнэ тохирно","УБ — Баянзүрх, Олимп хотхон"
2024-09-23,10:12,5.7,77.13,5.7,5.7 сая ₮,"УБ — Чингэлтэй, 40 мянгат"
2024-09-23,10:21,215.0,72.44,2.9679734953064605,215 сая ₮,"УБ — Баянгол, Баянгол, Хороо 11"
2024-09-23,11:09,445.0,99.99,4.450445044504451,"445 сая ₮
үнэ тохирно","УБ — Баянзүрх, Баянзүрх, Хороо 26"
2024-09-23,11:20,5.8,50.0,5.8,5.8 сая ₮,"УБ — Баянгол, Баянгол, Хороо 18"
2024-09-23,12:05,480.0,96.0,5.0,"480 сая ₮
үнэ тохирно","УБ — Баянзүрх, Баянзүрх, Хороо 26"
2024-09-23,12:43,499.0,79.2,6.30050505050505,499 сая ₮,"УБ — Хан-Уул, 120 мянгат"
2024-09-23,12:45,99.0,22.0,4.5,"99 сая ₮
үнэ тохирно","УБ — Баянзүрх, 13-р хороолол"
2024-09-23,13:26,1770.0,295.0,6.0,1.77 Тэрбум ₮,"УБ — Баянзүрх, Бага тэнгэрийн ам"
2024-09-23,15:30,2.75,91.3,2.75,"2.75 сая ₮
үнэ тохирно","УБ — Баянзүрх, 13-р хороолол"
2024-09-23,17:35,8.5,204.0,8.5,8.5 сая ₮,"УБ — Хан-Уул, River Garden"
2024-09-23,18:15,168.0,29.0,5.793103448275862,"168 сая ₮
178 сая ₮ үнэ тохирно","УБ — Баянгол, 4-р хороолол"
2024-09-23,18:25,3.4,53.0,3.4,3.4 сая ₮,"УБ — Сүхбаатар, 100 айл"
2024-09-23,18:51,4.8,52.8,4.8,4.8 сая ₮,"УБ — Баянгол, Баруун 4 зам"
2024-09-23,19:01,403.0,97.29,4.142255113577963,403 сая ₮,"УБ — Баянзүрх, Шинэ Монгол сургуулийн ойролцоо"
2024-09-24,07:13,99.0,45.0,2.2,99 сая ₮,"УБ — Баянзүрх, Сансар"
2024-09-24,08:50,288.0,75.0,3.84,288 сая ₮,"УБ — Хан-Уул, Хан-Уул, Хороо 23"
2024-09-24,11:07,125.0,42.0,2.9761904761904763,"125 сая ₮
үнэ тохирно","УБ — Сонгинохайрхан, Толгойт"
2024-09-24,12:01,310.0,63.0,4.920634920634921,310 сая ₮,"УБ — Хан-Уул, Зайсан"
2024-09-24,12:36,125.0,30.0,4.166666666666667,"125 сая ₮
үнэ тохирно","УБ — Сүхбаатар, 11-р хороолол"
2024-09-24,13:28,198.0,50.0,3.96,"198 сая ₮
үнэ тохирно","УБ — Баянгол, Баруун 4 зам"
2024-09-24,13:35,1.9,235.0,1.9,"1.9 сая ₮
үнэ тохирно","УБ — Хан-Уул, Хан-Уул, Хороо 21"
2024-09-24,14:11,3.4,64.0,3.4,"3.4 сая ₮
үнэ тохирно","УБ — Сүхбаатар, 100 айл"
2024-09-24,15:28,220.0,72.36,3.0403537866224433,220 сая ₮,"УБ — Баянзүрх, Баянзүрх, Хороо 22"
2024-09-24,15:50,4.4,98.6,4.4,4.4 сая ₮,"УБ — Баянзүрх, Баянзүрх, Хороо 26"
2024-09-24,16:34,298.0,77.0,3.8701298701298703,"298 сая ₮
үнэ тохирно","УБ — Хан-Уул, Хан-Уул, Хороо 15"
2024-09-25,08:10,760.0,172.0,4.4186046511627906,"760 сая ₮
үнэ тохирно","УБ — Хан-Уул, Арцатын ам"
2024-09-25,09:25,103.0,34.4,2.994186046511628,"103 сая ₮
үнэ тохирно","УБ — Сүхбаатар, Сүхбаатар, Хороо 1"
2024-09-25,10:13,765.0,120.16,6.366511318242344,765 сая ₮,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
2024-09-25,10:50,128.0,41.0,3.1219512195121952,"128 сая ₮
үнэ тохирно","УБ — Баянзүрх, Сандэй плаза"
2024-09-25,14:14,2.3,67.0,2.3,"2.3 сая ₮
үнэ тохирно","УБ — Сонгинохайрхан, Орбит"
2024-09-25,14:47,7.2,161.64,7.2,"7.2 сая ₮
үнэ тохирно","УБ — Хан-Уул, Хүннү"
2024-09-25,15:24,89.0,36.4,2.4450549450549453,89 сая ₮,"УБ — Баянгол, 3, 4 хороолол"
2024-09-25,15:32,490.0,170.0,2.8823529411764706,"490 сая ₮
үнэ тохирно","УБ — Хан-Уул, 120 мянгат"
2024-09-25,15:56,190.0,54.36,3.495217071376012,"190 сая ₮
үнэ тохирно","УБ — Сүхбаатар, Сүхбаатар, Хороо 9"
2024-09-25,17:20,491.32,75.0,6.550933333333333,491.32 сая ₮,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
2024-09-25,17:47,120.0,36.0,3.3333333333333335,"120 сая ₮
үнэ тохирно","УБ — Баянгол, 10-р хороолол"
2024-09-25,19:18,125.0,38.0,3.289473684210526,"125 сая ₮
145 сая ₮ үнэ тохирно","УБ — Баянгол, 3, 4 хороолол"
2024-09-25,22:10,282.0,70.0,4.0285714285714285,"282 сая ₮
үнэ тохирно","УБ — Сүхбаатар, 100 айл"
2024-09-25,23:51,210.0,27.0,7.777777777777778,210 сая ₮,"УБ — Баянгол, Баруун 4 зам"
2024-09-26,00:00,125.0,33.3,3.753753753753754,125 сая ₮,"УБ — Сүхбаатар, 100 айл"
2024-09-26,08:41,7.3,80.0,7.3,7.3 сая ₮,"УБ — Хан-Уул, 120 мянгат"
2024-09-26,09:15,4.0,100.4,4.0,"4,150 ₮","УБ — Сүхбаатар, Сүхбаатар, Хороо 1"
2024-09-26,09:56,3.5,122.45,3.5,"3.5 сая ₮
үнэ тохирно","УБ — Хан-Уул, Зайсан"
2024-09-26,10:10,135.0,35.0,3.857142857142857,"135 сая ₮
үнэ тохирно","УБ — Сүхбаатар, Дөлгөөн нуур"
2024-09-26,11:09,210.0,105.0,2.0,"210 сая ₮
үнэ тохирно","УБ — Баянзүрх, Офицер"
2024-09-26,11:17,1150.0,312.0,3.6858974358974357,"1.15 Тэрбум ₮
үнэ тохирно","УБ — Хан-Уул, Зайсан"
2024-09-26,11:50,212.0,76.6,2.7676240208877285,"212 сая ₮
үнэ тохирно","УБ — Баянзүрх, Баянзүрх, Хороо 14"
2024-09-26,12:24,645.98,117.45,5.500042571306939,"645.98 сая ₮
үнэ тохирно","УБ — Хан-Уул, Хан-Уул, Хороо 4"
2024-09-26,13:06,130.0,64.4,2.0186335403726705,"130 сая ₮
үнэ тохирно","УБ — Сонгинохайрхан, 21-р хороолол"
2024-09-26,14:35,400.0,77.1,5.188067444876784,400 сая ₮,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1"
2024-09-26,14:56,400.0,96.0,4.166666666666667,400 сая ₮,"УБ — Хан-Уул, 19-р хороолол"
2024-09-26,15:00,2.8,376.0,2.8,"2.8 сая ₮
үнэ тохирно","УБ — Хан-Уул, Зайсан"
2024-09-26,15:28,3.2,185.35,3.2,"3.2 сая ₮
үнэ тохирно","УБ — Сүхбаатар, Бага тойрог"
2024-09-26,15:39,3.8,62.44,3.8,"3.8 сая ₮
үнэ тохирно","УБ — Сүхбаатар, Сүхбаатар, Хороо 1"
2024-09-26,16:06,6.2,90.0,6.2,"6.2 сая ₮
үнэ тохирно","УБ — Хан-Уул, Хан-Уул, Хороо 15"
2024-09-26,21:33,200.0,59.42,3.365870077415012,"200 сая ₮
үнэ тохирно","УБ — Хан-Уул, Хан-Уул, Хороо 4"
2024-09-26,21:39,5.9,194.13,5.9,5.9 сая ₮,"УБ — Хан-Уул, Хан-Уул, Хороо 11"
2024-09-26,21:52,2.9,66.48,2.9,"2.9 сая ₮
үнэ тохирно","УБ — Баянзүрх, Баянзүрх, Хороо 5"
2024-09-27,08:22,425.0,99.0,4.292929292929293,425 сая ₮,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
2024-09-27,08:30,425.0,110.98,3.8295188322220217,425 сая ₮,"УБ — Хан-Уул, Хансвилл хотхон"
2024-09-27,08:34,2.3,183.0,2.3,"2.3 сая ₮
үнэ тохирно","УБ — Хан-Уул, Зайсан"
2024-09-27,09:23,380.0,103.0,3.6893203883495147,"380 сая ₮
үнэ тохирно","УБ — Хан-Уул, Зайсан"
2024-09-27,09:45,520.0,110.0,4.7272727272727275,"520 сая ₮
550 сая ₮ үнэ тохирно","УБ — Баянзүрх, Баянзүрх, Хороо 26"
2024-09-27,10:28,3.15,34.19,3.15,"3.15 сая ₮
үнэ тохирно","УБ — Хан-Уул, Хан-Уул, Хороо 16"
2024-09-27,10:54,1740.0,165.0,10.545454545454545,1.74 Тэрбум ₮,"УБ — Хан-Уул, Хан-Уул, Хороо 17"
2024-09-27,11:01,5.5,125.0,5.5,"5.5 сая ₮
үнэ тохирно","УБ — Сүхбаатар, 220 мянгат"
